Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-03-15,724,,244,562,1021,631,63,565,
2012-09-29,1896,,755,1206,1963,1062,442,2267,
2012-02-23,397,,10,293,528,329,22,13,
2012-05-21,5129,,1646,2672,4169,2044,3413,5053,
2012-06-03,269,,0,192,437,170,10,0,
2012-08-23,5437,,2482,3807,6773,3573,1864,5010,
2012-07-22,4971,,1238,2683,4104,1788,2960,4787,
2012-10-04,2183,,909,1588,2932,1736,252,2108,
2012-08-29,6327,,3092,4370,7009,3759,2152,5342,
2012-05-30,6459,,2722,4806,7632,3817,2454,5172,
2012-03-19,1821,,1024,1278,2581,1609,506,2058,
2012-11-03,380,,60,253,540,289,0,285,
2012-10-26,4290,,1987,2754,5246,3000,1456,4578,
2012-01-31,186,,1,109,324,122,0,0,
2012-03-27,1049,,517,774,1576,972,163,1207,
2012-02-02,217,,5,134,345,128,2,2,
2012-03-11,844,,380,612,1137,713,105,1302,
2012-10-03,182,,13,162,296,165,0,58,
2012-01-15,54,,0,33,60,18,0,0,
2012-10-23,4177,,1997,2795,5216,3233,795,3554,
2012-06-06,6037,,2724,4273,7822,3987,1223,5269,
2012-07-06,6246,,2607,4670,8222,3972,1019,5724,
2012-03-16,423,,149,305,695,419,9,422,
2012-09-28,4652,,2134,3209,5372,3309,1133,4361,
2012-07-02,316,,0,209,516,225,9,0,
2012-01-26,306,,0,215,495,191,0,1,
2012-05-17,5351,,2441,4182,6551,3408,1631,4988,
2012-02-25,62,,0,48,52,18,2,5,
2012-06-13,6180,,2792,4374,7297,3825,1968,5887,
2012-09-06,5164,,1672,3418,5557,2451,1551,6026,
2012-08-26,3964,,1318,2118,3558,1750,2932,4536,
2012-01-03,92,,0,56,199,63,0,14,
2012-05-31,5104,,2177,3985,6631,3205,1389,4410,
2012-04-01,144,,1,116,318,111,8,61,
2012-04-06,2717,,1408,2095,4276,2168,333,3090,
2012-03-24,753,,336,517,1001,635,277,1035,
2012-01-21,53,,0,47,70,32,1,0,
2012-04-21,533,,212,398,710,408,50,755,
2012-04-17,3539,,1616,2636,4592,2450,544,3333,
2012-06-16,5421,,1651,3099,4909,2337,3280,5537,
2012-01-17,155,,0,86,256,74,0,0,
2012-02-07,4144,,1397,2658,3998,1883,2783,4464,
2012-11-01,273,,0,182,443,258,12,194,
2012-09-23,2314,,1093,1496,2572,1470,984,3321,
2012-07-05,5552,,2573,3959,6355,3416,1848,5253,
2012-08-17,4236,,1777,3099,4979,2581,586,4154,
2012-10-14,587,,287,443,852,503,65,952,
2012-04-11,966,,446,710,1277,692,197,1374,
2012-03-20,2481,,1261,1709,3130,1955,762,2609,
2012-01-25,334,,1,217,453,180,4,0,
2012-03-14,469,,146,313,739,451,0,336,
2012-04-18,3570,,1751,2759,4655,2534,706,3542,
2012-10-02,303,,1,206,478,216,6,2,
2012-11-10,3746,,1857,2569,4694,3034,558,3457,
2012-07-08,5997,,2410,3622,6840,3480,2780,4903,
2012-04-13,3341,,1505,2565,4465,2358,922,3728,
2012-09-18,2530,,1277,1695,3254,2275,388,2377,
2012-09-08,4127,,1802,2601,5377,2656,1471,3636,
2012-03-22,2195,,1030,1640,2654,1958,548,2254,
2012-12-03,802,,179,618,1265,747,0,548,
2012-05-23,5974,,2650,4407,7281,3737,1826,4798,
2012-02-24,243,,4,187,313,137,4,13,
2012-07-09,6186,,2720,4153,7323,3886,2051,6104,
2012-06-07,5958,,2095,4137,6942,3387,2248,5610,
2012-09-30,876,,359,513,957,520,133,1162,
2012-04-24,1810,,720,1355,2379,1286,188,1753,
2012-04-25,2966,,1023,2228,3444,1800,445,2454,
2012-05-27,4396,,1525,2578,4587,2073,2886,5168,
2012-05-04,2424,,1036,1823,3273,1699,355,2463,
2012-01-05,1986,,815,1722,2766,1516,195,1960,
2012-09-03,371,,8,279,575,268,8,38,
2012-01-20,161,,4,96,217,67,1,1,
2012-09-21,4022,,1821,2911,4745,2945,889,3886,
2012-07-30,5225,,2285,2975,6219,3196,2564,5100,
2012-07-13,5518,,2005,3525,6492,3088,2219,5185,
2012-01-18,139,,0,66,188,68,3,0,
2012-02-18,220,,1,159,280,134,30,0,
2012-08-04,1164,,560,621,1333,704,792,1533,
2012-06-26,3327,,1435,2139,4318,2193,620,3223,
2012-02-27,119,,4,94,298,134,3,5,
2012-02-08,5715,,2361,3340,6956,3329,2643,4828,
2012-09-02,342,,0,227,471,231,11,0,
2012-08-21,5792,,2508,4063,6687,3369,2353,5640,
2012-05-11,2247,,1170,1705,3221,2143,179,2430,
2012-10-10,3115,,1537,2081,3681,2608,560,2703,
2012-08-19,4644,,1408,2605,3780,1758,1683,4478,
2012-08-06,4169,,1833,3303,5881,3001,623,4474,
2012-08-25,4242,,1305,2358,4126,1726,2558,4833,
2012-05-02,72,,0,46,133,54,7,0,
2012-02-13,211,,0,175,408,207,4,0,
2012-04-30,3610,,1572,2825,4675,2446,851,3541,
2012-04-26,2751,,1069,2196,3546,1789,381,2438,
2012-12-04,3064,,1483,2306,4076,2280,590,3213,
2012-07-25,6104,,2593,3786,7073,3622,3132,5059,
2012-08-22,6529,,2671,4513,7065,3774,2391,5154,
2012-01-04,662,,341,442,824,471,168,1086,
2012-03-02,174,,1,103,301,111,1,1,
2012-06-30,4738,,1359,3007,4226,1822,2870,4527,
2012-07-01,98,,2,80,108,53,6,54,
2012-04-02,84,,0,53,119,44,8,0,
