IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
243;Штаны Цветочная Поляна;red;;M;100;31.97
191;Штаны Полосатый Рейс;green;;S;100;29.06
402;Футболка Женский Соблазн;white;;S;100;12.34
522;Туфли Ультра Лайн;jeans;35.0;;100;40.69
401;Футболка Женский Соблазн;white;;M;100;12.34
355;Нижнее белье Ночь наступает;black;;XS;100;22.66
495;Туфли Вечерняя Бабочка;purple;35.0;;100;43.6
276;Платье Ночная Жизнь;black;;XS;100;65.4
482;Домашние Тапочки Любимый Спорт;brown;39.0;;100;14.52
229;Штаны Цветочная Поляна;purple;;M;100;31.97
189;Штаны Полосатый Рейс;green;;XS;100;29.06
458;Спортивный Костюм Вечерний Спорт;white;;L;100;39.24
630;Ремень Плетение;red;;L;100;10.9
314;Нижнее белье Интимный Вечер;white;;S;100;15.98
527;Туфли Ультра Лайн;jeans;39.0;;100;40.69
583;Ремень Радуга;blue;;XS;100;5.67
452;Спортивный Костюм Дыхание Спорта;white;;XS;100;38.23
397;Футболка Женский Соблазн;white;;L;100;12.34
420;Спортивный Костюм Огонь в Ночи;black;;S;100;36.33
568;Ремень Радуга;see;;XL;100;5.67
188;Штаны Полосатый Рейс;green;;XL;100;29.06
454;Спортивный Костюм Дыхание Спорта;white;;S;100;38.23
372;Футболка Женская Чистота;white;;XL;100;10.89
303;Нижнее белье Белая Свобода;white;;XS;100;20.34
563;Ремень Радуга;purple;;M;100;5.67
607;Ремень Класика;black;;M;100;17.3
232;Штаны Цветочная Поляна;white;;L;100;31.97
570;Ремень Радуга;see;;M;100;5.67
381;Футболка Женская Ночь;black;;XL;100;11.03
460;Спортивный Костюм Вечерний Спорт;white;;XL;100;39.24
212;Штаны Жизнь в Абстракции;redblue;;XS;100;27.61
525;Туфли Ультра Лайн;jeans;37.0;;100;40.69
477;Домашние Тапочки Любимый Спорт;brown;35.0;;100;14.52
488;Туфли Летняя Легкость;white;36.0;;100;29.06
507;Пантолеты Кости на Пляже;black;37.0;;100;13.07
633;Ремень Плетение;red;;XS;100;10.9
406;Спортивный Костюм Нежная Теплота;azure;;L;100;33.87
616;Ремень Элегантность;brown;;M;100;10.61
532;Туфли Ультра Лайн;white;37.0;;100;40.69
504;Пантолеты Кости на Пляже;black;35.0;;100;13.07
418;Спортивный Костюм Огонь в Ночи;black;;XS;100;36.33
585;Ремень Радуга;blue;;S;100;5.67
545;Туфли Ультра Лайн;flowers;36.0;;100;40.69
