iter	Logloss
0	0.6612941664
1	0.6327369208
2	0.6055322255
3	0.579558646
4	0.5601189219
5	0.5401555574
6	0.5212345569
7	0.5060462613
8	0.4926794997
9	0.4776778919
10	0.4640724474
11	0.4520203101
12	0.4412755572
13	0.4326871986
14	0.4242152685
15	0.4151723224
16	0.4082577149
17	0.4026893462
18	0.3972379183
19	0.3914044891
20	0.3869424167
21	0.3818984825
22	0.3770777462
23	0.372393362
24	0.3698092135
25	0.3659246828
26	0.3626813725
27	0.3599490997
28	0.3568314595
29	0.3534025318
30	0.3509709954
31	0.3485646195
32	0.3461397055
33	0.3439399018
34	0.3419438332
35	0.340001577
36	0.3385501439
37	0.3369488561
38	0.3351295968
39	0.3335785183
40	0.3320129407
41	0.3309574726
42	0.3298186414
43	0.3287396908
44	0.3279541241
45	0.3266911287
46	0.3258812243
47	0.3249296844
48	0.324023956
49	0.32263847
50	0.3215192126
51	0.321331575
52	0.3206020347
53	0.3200103423
54	0.3193512002
55	0.3187399886
56	0.3181345767
57	0.3176580274
58	0.3165982736
59	0.3159429771
60	0.3151657664
61	0.31434164
62	0.313857046
63	0.3131382042
64	0.3125306102
65	0.312121888
66	0.3117261472
67	0.3113427265
68	0.3109889241
69	0.3105345708
70	0.3100487371
71	0.3094089228
72	0.3088607705
73	0.3085049489
74	0.3081583171
75	0.3076001598
76	0.3073588078
77	0.3069621952
78	0.3066284359
79	0.3061525089
80	0.30583248
81	0.3055321554
82	0.3046632509
83	0.3043868043
84	0.3039516918
85	0.3036870569
86	0.3034831739
87	0.3028728316
88	0.302622173
89	0.3022649216
90	0.3020456487
91	0.3014862084
92	0.3012606741
93	0.3008739654
94	0.3004785945
95	0.3002792682
96	0.3000521527
97	0.2996686845
98	0.2994191875
99	0.2989271171
100	0.2986608457
101	0.2982831582
102	0.2980223771
103	0.2978055638
104	0.2975891783
105	0.2974110115
106	0.2971705474
107	0.2969468947
108	0.2967713089
109	0.2966105119
110	0.2963197699
111	0.2961207602
112	0.2959826186
113	0.2956568831
114	0.2948125706
115	0.2946725505
116	0.2944267231
117	0.2940068363
118	0.2936682054
119	0.2934169099
120	0.2932147146
121	0.293033748
122	0.2929039564
123	0.2927659377
124	0.2925337595
125	0.2923226004
126	0.2920478106
127	0.2917939214
128	0.2908873385
129	0.2906709339
130	0.2905074477
131	0.2903986357
132	0.2902192354
133	0.2899876747
134	0.2898522167
135	0.2897485898
136	0.2896543988
137	0.2895349128
138	0.2893901042
139	0.2892910893
140	0.2889338998
141	0.2888084346
142	0.2887027381
143	0.2883947561
144	0.2882335528
145	0.2879647032
146	0.2878218792
147	0.2877232324
148	0.2873681455
149	0.2872466441
150	0.2870988073
151	0.2870643527
152	0.2869165775
153	0.2867252318
154	0.2866030411
155	0.2864776777
156	0.2862388158
157	0.2860534421
158	0.2859169059
159	0.285783097
160	0.2852305907
161	0.2851488449
162	0.2850344754
163	0.2848031604
164	0.284775534
165	0.2846357675
166	0.2845075585
167	0.2843890279
168	0.2842530689
169	0.2841935521
170	0.2840716285
171	0.2839137176
172	0.2838528024
173	0.2835283288
174	0.2834105014
175	0.2832629429
176	0.2832362315
177	0.2831474993
178	0.2830019941
179	0.2828902987
180	0.2827579255
181	0.282623443
182	0.282470004
183	0.2823575122
184	0.2822391059
185	0.2820814512
186	0.281940217
187	0.2818028909
188	0.2817248472
189	0.2815894274
190	0.2814610467
191	0.2813460925
192	0.2812517795
193	0.281024544
194	0.2808483651
195	0.2807834202
196	0.280637654
197	0.2805381187
198	0.2804114823
199	0.2803474332
