iter	Passed	Remaining
0	61	12233
1	105	10458
2	158	10427
3	199	9769
4	233	9111
5	267	8634
6	303	8358
7	337	8089
8	379	8050
9	448	8514
10	516	8878
11	554	8691
12	594	8553
13	629	8358
14	662	8170
15	697	8018
16	729	7847
17	759	7678
18	801	7639
19	866	7800
20	908	7741
21	947	7669
22	992	7641
23	1027	7534
24	1048	7340
25	1078	7216
26	1109	7110
27	1144	7030
28	1179	6955
29	1215	6889
30	1254	6837
31	1283	6736
32	1313	6644
33	1345	6569
34	1375	6484
35	1407	6410
36	1438	6338
37	1475	6292
38	1512	6244
39	1545	6180
40	1579	6124
41	1613	6069
42	1642	5995
43	1682	5964
44	1717	5914
45	1748	5853
46	1780	5796
47	1815	5749
48	1849	5699
49	1879	5637
50	1915	5596
51	1928	5487
52	1961	5440
53	1992	5386
54	2019	5323
55	2048	5268
56	2079	5215
57	2107	5160
58	2140	5115
59	2173	5070
60	2205	5025
61	2237	4979
62	2270	4938
63	2301	4890
64	2331	4843
65	2368	4809
66	2402	4768
67	2435	4727
68	2463	4676
69	2499	4642
70	2531	4599
71	2565	4560
72	2595	4515
73	2626	4472
74	2658	4430
75	2692	4393
76	2726	4354
77	2757	4313
78	2788	4271
79	2823	4234
80	2854	4193
81	2884	4151
82	2919	4114
83	2949	4073
84	2980	4032
85	3015	3996
86	3042	3951
87	3074	3912
88	3104	3871
89	3134	3831
90	3165	3791
91	3199	3756
92	3230	3717
93	3263	3680
94	3297	3644
95	3329	3606
96	3360	3568
97	3394	3532
98	3420	3489
99	3452	3452
100	3482	3413
101	3517	3379
102	3548	3341
103	3581	3306
104	3615	3270
105	3647	3234
106	3683	3201
107	3720	3169
108	3752	3132
109	3790	3101
110	3823	3065
111	3856	3030
112	3886	2992
113	3919	2956
114	3954	2923
115	3990	2889
116	4025	2855
117	4056	2818
118	4089	2783
119	4120	2746
120	4152	2710
121	4182	2674
122	4216	2639
123	4249	2604
124	4283	2570
125	4313	2533
126	4347	2498
127	4380	2464
128	4415	2430
129	4447	2394
130	4494	2367
131	4523	2330
132	4569	2301
133	4606	2268
134	4646	2237
135	4683	2203
136	4718	2169
137	4750	2134
138	4783	2099
139	4819	2065
140	4852	2030
141	4886	1995
142	4918	1960
143	4952	1925
144	4981	1889
145	5016	1855
146	5057	1823
147	5094	1789
148	5127	1755
149	5161	1720
150	5195	1685
151	5211	1645
152	5239	1609
153	5272	1574
154	5302	1539
155	5339	1506
156	5371	1471
157	5403	1436
158	5435	1401
159	5467	1366
160	5501	1332
161	5533	1297
162	5564	1263
163	5596	1228
164	5615	1191
165	5645	1156
166	5678	1122
167	5711	1087
168	5744	1053
169	5772	1018
170	5802	984
171	5833	949
172	5864	915
173	5899	881
174	5934	847
175	5967	813
176	5983	777
177	6010	742
178	6041	708
179	6082	675
180	6121	642
181	6154	608
182	6186	574
183	6219	540
184	6243	506
185	6275	472
186	6303	438
187	6335	404
188	6367	370
189	6399	336
190	6431	303
191	6465	269
192	6494	235
193	6530	201
194	6563	168
195	6593	134
196	6622	100
197	6654	67
198	6687	33
199	6712	0
