<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20181009,000000,0.1378240,0.1378240,0.1378240,0.1378240,0
20181010,000000,0.1367160,0.1367160,0.1367160,0.1367160,0
20181011,000000,0.1363760,0.1363760,0.1363760,0.1363760,0
20181012,000000,0.1374630,0.1374630,0.1374630,0.1374630,0
20181013,000000,0.1358210,0.1358210,0.1358210,0.1358210,0
20181016,000000,0.1354290,0.1354290,0.1354290,0.1354290,0
20181017,000000,0.1353940,0.1353940,0.1353940,0.1353940,0
20181018,000000,0.1346430,0.1346430,0.1346430,0.1346430,0
20181019,000000,0.1353040,0.1353040,0.1353040,0.1353040,0
20181020,000000,0.1359790,0.1359790,0.1359790,0.1359790,0
20181023,000000,0.1347360,0.1347360,0.1347360,0.1347360,0
20181024,000000,0.1345910,0.1345910,0.1345910,0.1345910,0
20181025,000000,0.1352500,0.1352500,0.1352500,0.1352500,0
20181026,000000,0.1358700,0.1358700,0.1358700,0.1358700,0
20181027,000000,0.1350780,0.1350780,0.1350780,0.1350780,0
20181030,000000,0.1354170,0.1354170,0.1354170,0.1354170,0
20181031,000000,0.1353940,0.1353940,0.1353940,0.1353940,0
20181101,000000,0.1347770,0.1347770,0.1347770,0.1347770,0
20181102,000000,0.1347250,0.1347250,0.1347250,0.1347250,0
20181103,000000,0.1347990,0.1347990,0.1347990,0.1347990,0
20181107,000000,0.1353390,0.1353390,0.1353390,0.1353390,0
20181108,000000,0.1355450,0.1355450,0.1355450,0.1355450,0
20181109,000000,0.1358820,0.1358820,0.1358820,0.1358820,0
20181110,000000,0.1372680,0.1372680,0.1372680,0.1372680,0
20181113,000000,0.1382830,0.1382830,0.1382830,0.1382830,0
20181114,000000,0.1389040,0.1389040,0.1389040,0.1389040,0
20181115,000000,0.1395540,0.1395540,0.1395540,0.1395540,0
20181116,000000,0.1366480,0.1366480,0.1366480,0.1366480,0
20181117,000000,0.1359280,0.1359280,0.1359280,0.1359280,0
20181120,000000,0.1359310,0.1359310,0.1359310,0.1359310,0
20181121,000000,0.1350220,0.1350220,0.1350220,0.1350220,0
20181122,000000,0.1362010,0.1362010,0.1362010,0.1362010,0
20181123,000000,0.1352020,0.1352020,0.1352020,0.1352020,0
20181124,000000,0.1355340,0.1355340,0.1355340,0.1355340,0
20181127,000000,0.1371280,0.1371280,0.1371280,0.1371280,0
20181128,000000,0.1375490,0.1375490,0.1375490,0.1375490,0
20181129,000000,0.1380570,0.1380570,0.1380570,0.1380570,0
20181130,000000,0.1373900,0.1373900,0.1373900,0.1373900,0
20181201,000000,0.1369710,0.1369710,0.1369710,0.1369710,0
20181204,000000,0.1366570,0.1366570,0.1366570,0.1366570,0
20181205,000000,0.1369750,0.1369750,0.1369750,0.1369750,0
20181206,000000,0.1378960,0.1378960,0.1378960,0.1378960,0
20181207,000000,0.1377170,0.1377170,0.1377170,0.1377170,0
20181208,000000,0.1379850,0.1379850,0.1379850,0.1379850,0
20181211,000000,0.1367220,0.1367220,0.1367220,0.1367220,0
20181212,000000,0.1369200,0.1369200,0.1369200,0.1369200,0
20181213,000000,0.1368410,0.1368410,0.1368410,0.1368410,0
20181214,000000,0.1363270,0.1363270,0.1363270,0.1363270,0
20181215,000000,0.1368360,0.1368360,0.1368360,0.1368360,0
20181218,000000,0.1375890,0.1375890,0.1375890,0.1375890,0
20181219,000000,0.1377050,0.1377050,0.1377050,0.1377050,0
20181220,000000,0.1383750,0.1383750,0.1383750,0.1383750,0
20181221,000000,0.1387660,0.1387660,0.1387660,0.1387660,0
20181222,000000,0.1404550,0.1404550,0.1404550,0.1404550,0
20181225,000000,0.1414840,0.1414840,0.1414840,0.1414840,0
20181226,000000,0.1417420,0.1417420,0.1417420,0.1417420,0
20181227,000000,0.1423570,0.1423570,0.1423570,0.1423570,0
20181228,000000,0.1423060,0.1423060,0.1423060,0.1423060,0
20181229,000000,0.1436400,0.1436400,0.1436400,0.1436400,0
20181230,000000,0.1432380,0.1432380,0.1432380,0.1432380,0
20190110,000000,0.1382800,0.1382800,0.1382800,0.1382800,0
20190111,000000,0.1377430,0.1377430,0.1377430,0.1377430,0
20190112,000000,0.1376890,0.1376890,0.1376890,0.1376890,0
20190115,000000,0.1381130,0.1381130,0.1381130,0.1381130,0
20190116,000000,0.1378020,0.1378020,0.1378020,0.1378020,0
20190117,000000,0.1373700,0.1373700,0.1373700,0.1373700,0
20190118,000000,0.1368560,0.1368560,0.1368560,0.1368560,0
20190119,000000,0.1367370,0.1367370,0.1367370,0.1367370,0
20190122,000000,0.1366910,0.1366910,0.1366910,0.1366910,0
20190123,000000,0.1370750,0.1370750,0.1370750,0.1370750,0
20190124,000000,0.1365550,0.1365550,0.1365550,0.1365550,0
20190125,000000,0.1361140,0.1361140,0.1361140,0.1361140,0
20190126,000000,0.1356040,0.1356040,0.1356040,0.1356040,0
20190129,000000,0.1356580,0.1356580,0.1356580,0.1356580,0
20190130,000000,0.1364760,0.1364760,0.1364760,0.1364760,0
20190131,000000,0.1358380,0.1358380,0.1358380,0.1358380,0
20190201,000000,0.1339850,0.1339850,0.1339850,0.1339850,0
20190202,000000,0.1347700,0.1347700,0.1347700,0.1347700,0
20190205,000000,0.1346460,0.1346460,0.1346460,0.1346460,0
20190206,000000,0.1347080,0.1347080,0.1347080,0.1347080,0
20190207,000000,0.1345670,0.1345670,0.1345670,0.1345670,0
20190208,000000,0.1350380,0.1350380,0.1350380,0.1350380,0
20190209,000000,0.1354440,0.1354440,0.1354440,0.1354440,0
20190212,000000,0.1339830,0.1339830,0.1339830,0.1339830,0
20190213,000000,0.1342760,0.1342760,0.1342760,0.1342760,0
20190214,000000,0.1345590,0.1345590,0.1345590,0.1345590,0
20190215,000000,0.1363860,0.1363860,0.1363860,0.1363860,0
20190216,000000,0.1367590,0.1367590,0.1367590,0.1367590,0
20190219,000000,0.1358220,0.1358220,0.1358220,0.1358220,0
20190220,000000,0.1357300,0.1357300,0.1357300,0.1357300,0
20190221,000000,0.1350630,0.1350630,0.1350630,0.1350630,0
20190222,000000,0.1343720,0.1343720,0.1343720,0.1343720,0
20190223,000000,0.1340600,0.1340600,0.1340600,0.1340600,0
20190226,000000,0.1335340,0.1335340,0.1335340,0.1335340,0
20190227,000000,0.1342430,0.1342430,0.1342430,0.1342430,0
20190228,000000,0.1343080,0.1343080,0.1343080,0.1343080,0
20190301,000000,0.1344410,0.1344410,0.1344410,0.1344410,0
20190302,000000,0.1343700,0.1343700,0.1343700,0.1343700,0
20190305,000000,0.1344830,0.1344830,0.1344830,0.1344830,0
20190306,000000,0.1341770,0.1341770,0.1341770,0.1341770,0
20190307,000000,0.1344830,0.1344830,0.1344830,0.1344830,0
20190308,000000,0.1347040,0.1347040,0.1347040,0.1347040,0
20190312,000000,0.1352080,0.1352080,0.1352080,0.1352080,0
20190313,000000,0.1344940,0.1344940,0.1344940,0.1344940,0
20190314,000000,0.1340740,0.1340740,0.1340740,0.1340740,0
20190315,000000,0.1342680,0.1342680,0.1342680,0.1342680,0
20190316,000000,0.1342640,0.1342640,0.1342640,0.1342640,0
20190319,000000,0.1330370,0.1330370,0.1330370,0.1330370,0
20190320,000000,0.1319990,0.1319990,0.1319990,0.1319990,0
20190321,000000,0.1322370,0.1322370,0.1322370,0.1322370,0
20190322,000000,0.1312100,0.1312100,0.1312100,0.1312100,0
20190323,000000,0.1310130,0.1310130,0.1310130,0.1310130,0
20190326,000000,0.1327420,0.1327420,0.1327420,0.1327420,0
20190327,000000,0.1320340,0.1320340,0.1320340,0.1320340,0
20190328,000000,0.1327020,0.1327020,0.1327020,0.1327020,0
20190329,000000,0.1332540,0.1332540,0.1332540,0.1332540,0
20190330,000000,0.1329940,0.1329940,0.1329940,0.1329940,0
20190402,000000,0.1344930,0.1344930,0.1344930,0.1344930,0
20190403,000000,0.1344410,0.1344410,0.1344410,0.1344410,0
20190404,000000,0.1337240,0.1337240,0.1337240,0.1337240,0
20190405,000000,0.1340060,0.1340060,0.1340060,0.1340060,0
20190406,000000,0.1341960,0.1341960,0.1341960,0.1341960,0
20190409,000000,0.1340510,0.1340510,0.1340510,0.1340510,0
20190410,000000,0.1330110,0.1330110,0.1330110,0.1330110,0
20190411,000000,0.1333140,0.1333140,0.1333140,0.1333140,0
20190412,000000,0.1327820,0.1327820,0.1327820,0.1327820,0
20190413,000000,0.1328610,0.1328610,0.1328610,0.1328610,0
20190416,000000,0.1324410,0.1324410,0.1324410,0.1324410,0
20190417,000000,0.1325950,0.1325950,0.1325950,0.1325950,0
20190418,000000,0.1322270,0.1322270,0.1322270,0.1322270,0
20190419,000000,0.1327580,0.1327580,0.1327580,0.1327580,0
20190420,000000,0.1325870,0.1325870,0.1325870,0.1325870,0
20190423,000000,0.1323090,0.1323090,0.1323090,0.1323090,0
20190424,000000,0.1325110,0.1325110,0.1325110,0.1325110,0
20190425,000000,0.1328070,0.1328070,0.1328070,0.1328070,0
20190426,000000,0.1342590,0.1342590,0.1342590,0.1342590,0
20190427,000000,0.1343130,0.1343130,0.1343130,0.1343130,0
20190430,000000,0.1343550,0.1343550,0.1343550,0.1343550,0
20190501,000000,0.1342290,0.1342290,0.1342290,0.1342290,0
20190507,000000,0.1357610,0.1357610,0.1357610,0.1357610,0
20190508,000000,0.1353320,0.1353320,0.1353320,0.1353320,0
20190509,000000,0.1353570,0.1353570,0.1353570,0.1353570,0
20190514,000000,0.1360280,0.1360280,0.1360280,0.1360280,0
20190515,000000,0.1356690,0.1356690,0.1356690,0.1356690,0
20190516,000000,0.1347930,0.1347930,0.1347930,0.1347930,0
20190517,000000,0.1345000,0.1345000,0.1345000,0.1345000,0
20190518,000000,0.1348620,0.1348620,0.1348620,0.1348620,0
20190521,000000,0.1343240,0.1343240,0.1343240,0.1343240,0
20190522,000000,0.1346630,0.1346630,0.1346630,0.1346630,0
20190523,000000,0.1344090,0.1344090,0.1344090,0.1344090,0
20190524,000000,0.1345250,0.1345250,0.1345250,0.1345250,0
20190525,000000,0.1347460,0.1347460,0.1347460,0.1347460,0
20190528,000000,0.1342990,0.1342990,0.1342990,0.1342990,0
20190529,000000,0.1344070,0.1344070,0.1344070,0.1344070,0
20190530,000000,0.1352260,0.1352260,0.1352260,0.1352260,0
20190531,000000,0.1355380,0.1355380,0.1355380,0.1355380,0
20190601,000000,0.1361450,0.1361450,0.1361450,0.1361450,0
20190604,000000,0.1364300,0.1364300,0.1364300,0.1364300,0
20190605,000000,0.1358940,0.1358940,0.1358940,0.1358940,0
20190606,000000,0.1358170,0.1358170,0.1358170,0.1358170,0
20190607,000000,0.1361170,0.1361170,0.1361170,0.1361170,0
