<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150202,000000,39.7800000,39.7900000,38.7650000,39.1050000,508180
20150203,000000,39.3900000,39.8250000,39.3000000,39.6150000,339026
20150204,000000,39.7500000,40.5700000,39.5650000,40.5700000,454889
20150205,000000,40.4350000,40.9050000,40.2550000,40.6000000,385675
20150206,000000,40.6000000,40.7200000,40.2000000,40.6050000,319065
20150209,000000,40.4450000,40.5750000,39.2100000,39.5750000,372829
20150210,000000,39.6000000,40.7500000,39.6000000,40.6500000,418404
20150211,000000,40.7500000,40.9700000,40.2650000,40.4350000,191024
20150212,000000,40.4050000,41.1000000,40.2500000,40.8850000,274098
20150213,000000,41.1000000,41.1150000,40.5200000,40.6400000,274132
20150216,000000,40.6500000,40.8050000,40.4550000,40.4950000,163737
20150217,000000,40.4000000,40.4000000,39.7500000,40.1350000,309543
20150218,000000,40.2650000,40.3200000,40.0650000,40.2400000,406546
20150219,000000,40.2800000,40.9900000,40.2450000,40.8600000,428052
20150220,000000,40.7250000,41.1550000,40.3350000,41.0400000,397865
20150223,000000,41.4200000,42.1900000,41.3600000,41.6500000,399704
20150224,000000,41.6800000,41.6800000,41.0250000,41.3000000,376013
20150225,000000,41.3200000,41.6450000,41.0850000,41.2500000,247529
20150226,000000,41.3350000,41.5500000,40.9650000,41.5500000,253741
20150227,000000,41.5700000,41.9000000,40.9950000,41.2400000,339101
20150302,000000,41.0950000,41.4100000,40.8800000,41.2200000,286860
20150303,000000,41.3450000,41.6000000,38.8100000,39.5700000,901337
20150304,000000,39.7650000,39.9600000,38.8650000,39.5750000,553664
20150305,000000,39.8550000,40.2200000,39.5250000,39.8900000,467887
20150306,000000,39.8900000,40.6000000,39.8900000,40.5200000,331280
20150309,000000,40.4000000,40.8000000,40.1900000,40.7050000,262991
20150310,000000,40.7150000,40.9800000,40.3900000,40.5000000,322869
20150311,000000,40.6000000,41.2700000,40.5050000,41.1800000,293070
20150312,000000,41.0800000,41.6000000,40.7500000,41.2400000,282020
20150313,000000,41.2700000,41.7000000,40.6500000,41.0800000,287808
20150316,000000,41.1300000,42.2500000,41.0850000,41.5850000,492054
20150317,000000,41.6000000,41.8750000,39.8800000,40.5150000,533827
20150318,000000,40.6200000,40.8000000,39.5450000,40.0600000,709901
20150319,000000,40.0750000,40.5000000,39.8350000,40.1550000,473885
20150320,000000,40.2450000,40.5150000,40.0000000,40.0000000,918996
20150323,000000,40.1000000,40.3000000,39.7500000,40.1150000,542114
20150324,000000,40.1050000,40.8050000,39.9450000,40.5800000,603638
20150325,000000,40.6100000,41.0000000,39.9000000,40.0500000,337512
20150326,000000,39.5850000,39.6400000,38.1800000,38.8150000,1017559
20150327,000000,39.1450000,39.8200000,39.1200000,39.5500000,499763
20150330,000000,39.7000000,40.0450000,39.4750000,39.7600000,390187
20150331,000000,39.7350000,40.3000000,39.1050000,39.3600000,331546
20150401,000000,39.1150000,40.0000000,39.0200000,39.6200000,258804
20150402,000000,39.6200000,39.9950000,39.5900000,39.6400000,172145
20150407,000000,40.0000000,40.2450000,39.8000000,39.9950000,346364
20150408,000000,40.0000000,40.1350000,38.8600000,39.1350000,517589
20150409,000000,39.2700000,41.2200000,39.2450000,41.0300000,773801
20150410,000000,41.3800000,42.2000000,41.3800000,41.9950000,631485
20150413,000000,42.1350000,42.6650000,41.6900000,41.9550000,452160
20150414,000000,42.0500000,42.7200000,41.5650000,41.8300000,566094
20150415,000000,41.9500000,42.0640000,41.4150000,41.5600000,281462
